Experiment: 20250413_045355
Density: 1
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 20

20 vertexes:
Attempt 12: 12.399500235915184ms
Attempt 13: 12.534099631011486ms
Attempt 14: 12.594799976795912ms
Attempt 15: 12.543899938464165ms
Attempt 16: 12.424599844962358ms
Attempt 17: 12.87749968469143ms
Attempt 18: 12.659300118684769ms
Attempt 19: 13.306799810379744ms
Attempt 20: 13.044199906289577ms
Average time: 12.656904989853501ms
210 vertexes:
Attempt 1: 14.540900010615587ms
Attempt 2: 15.195199754089117ms
Attempt 3: 14.310400001704693ms
Attempt 4: 14.208599925041199ms
Attempt 5: 14.451600145548582ms
Attempt 6: 14.467999804764986ms
Attempt 7: 14.323399867862463ms
Attempt 8: 14.502199832350016ms
Attempt 9: 15.25069959461689ms
Attempt 10: 14.288299717009068ms
Attempt 11: 14.56120004877448ms
Attempt 12: 14.606200158596039ms
Attempt 13: 14.49539978057146ms
Attempt 14: 14.48890008032322ms
Attempt 15: 14.238399919122458ms
Attempt 16: 14.285500161349773ms
Attempt 17: 14.332300052046776ms
Attempt 18: 14.424900058656931ms
Attempt 19: 14.410499949008226ms
Attempt 20: 14.249600004404783ms
Average time: 14.481609943322837ms
220 vertexes:
Attempt 1: 16.359700355678797ms
Attempt 2: 16.683100257068872ms
Attempt 3: 17.096999567002058ms
Attempt 4: 16.473200172185898ms
Attempt 5: 16.48480026051402ms
Attempt 6: 16.517099924385548ms
Attempt 7: 16.42980007454753ms
Attempt 8: 16.42660005018115ms
Attempt 9: 16.489199828356504ms
Attempt 10: 16.413799952715635ms
Attempt 11: 16.467500012367964ms
Attempt 12: 16.472999937832355ms
Attempt 13: 16.867800150066614ms
Attempt 14: 17.01409975066781ms
Attempt 15: 16.456299927085638ms
Attempt 16: 16.474599950015545ms
Attempt 17: 16.50210004299879ms
Attempt 18: 16.709899995476007ms
Attempt 19: 16.36839983984828ms
Attempt 20: 16.483300365507603ms
Average time: 16.55956502072513ms
230 vertexes:
Attempt 1: 19.08149989321828ms
Attempt 2: 18.595900386571884ms
Attempt 3: 18.96589994430542ms
Attempt 4: 18.723899964243174ms
Attempt 5: 18.550799693912268ms
Attempt 6: 19.11100000143051ms
Attempt 7: 18.842500168830156ms
Attempt 8: 19.07229982316494ms
Attempt 9: 18.94519990310073ms
Attempt 10: 18.98309960961342ms
Attempt 11: 18.68889993056655ms
Attempt 12: 18.804300110787153ms
Attempt 13: 18.932899925857782ms
Attempt 14: 18.789700232446194ms
Attempt 15: 18.64390028640628ms
Attempt 16: 18.926000222563744ms
Attempt 17: 18.991100136190653ms
Attempt 18: 18.674899823963642ms
Attempt 19: 18.93589971587062ms
Attempt 20: 18.883200362324715ms
Average time: 18.857145006768405ms
240 vertexes:
Attempt 1: 21.54600014910102ms
Attempt 2: 21.37940004467964ms
Attempt 3: 21.133000031113625ms
Attempt 4: 23.25819991528988ms
Attempt 5: 21.34939981624484ms
Attempt 6: 21.383199840784073ms
Attempt 7: 21.025499794632196ms
Attempt 8: 21.231800317764282ms
Attempt 9: 21.04259980842471ms
Attempt 10: 21.656500175595284ms
Attempt 11: 21.151400171220303ms
Attempt 12: 21.333500277251005ms
Attempt 13: 21.250800229609013ms
Attempt 14: 21.027700044214725ms
Attempt 15: 21.054300013929605ms
Attempt 16: 21.106400061398745ms
Attempt 17: 21.3577002286911ms
Attempt 18: 21.067099645733833ms
Attempt 19: 21.61929989233613ms
Attempt 20: 21.135800052434206ms
Average time: 21.35548002552241ms
250 vertexes:
Attempt 1: 23.760800249874592ms
Attempt 2: 23.730500135570765ms
Attempt 3: 23.917200043797493ms
Attempt 4: 23.96260015666485ms
Attempt 5: 23.82960030809045ms
Attempt 6: 23.925600107759237ms
Attempt 7: 23.64980010315776ms
Attempt 8: 23.67480006068945ms
Attempt 9: 24.133900180459023ms
Attempt 10: 24.019400123506784ms
Attempt 11: 23.829699959605932ms
Attempt 12: 23.81319971755147ms
Attempt 13: 28.374699875712395ms
Attempt 14: 23.913700133562088ms
Attempt 15: 23.68129976093769ms
Attempt 16: 24.28680006414652ms
Attempt 17: 23.731200024485588ms
Attempt 18: 23.72479997575283ms
Attempt 19: 24.05929984524846ms
Attempt 20: 23.844600189477205ms
Average time: 24.09317505080253ms
260 vertexes:
Attempt 1: 26.597799733281136ms
Attempt 2: 26.785799767822027ms
Attempt 3: 27.21450012177229ms
Attempt 4: 27.32700016349554ms
Attempt 5: 26.849200017750263ms
Attempt 6: 26.6057001426816ms
Attempt 7: 26.886299718171358ms
Attempt 8: 26.445799972862005ms
Attempt 9: 26.84740023687482ms
Attempt 10: 26.646200101822615ms
Attempt 11: 26.796599850058556ms
Attempt 12: 26.999800000339746ms
Attempt 13: 27.48870011419058ms
Attempt 14: 26.780199725180864ms
Attempt 15: 26.593400165438652ms
Attempt 16: 26.54589992016554ms
Attempt 17: 26.833599898964167ms
Attempt 18: 26.42429992556572ms
Attempt 19: 26.51830017566681ms
Attempt 20: 27.30849990621209ms
Average time: 26.82474998291582ms
270 vertexes:
Attempt 1: 30.127100180834532ms
Attempt 2: 29.666499700397253ms
Attempt 3: 29.760499950498343ms
Attempt 4: 29.925699811428785ms
Attempt 5: 29.55229999497533ms
Attempt 6: 30.13499965891242ms
Attempt 7: 30.152299907058477ms
Attempt 8: 30.190200079232454ms
Attempt 9: 29.674699995666742ms
Attempt 10: 32.07980003207922ms
Attempt 11: 30.88410012423992ms
Attempt 12: 30.25030018761754ms
Attempt 13: 31.90230019390583ms
Attempt 14: 32.505299896001816ms
Attempt 15: 30.196200124919415ms
Attempt 16: 29.73440010100603ms
Attempt 17: 30.316799879074097ms
Attempt 18: 30.476499814540148ms
Attempt 19: 30.49140004441142ms
Attempt 20: 30.211000237613916ms
Average time: 30.411619995720685ms
280 vertexes:
Attempt 1: 33.24940009042621ms
Attempt 2: 33.91179954633117ms
Attempt 3: 34.13749998435378ms
Attempt 4: 33.155899960547686ms
Attempt 5: 33.46480010077357ms
Attempt 6: 33.25749980285764ms
Attempt 7: 33.2357999868691ms
Attempt 8: 33.58229994773865ms
Attempt 9: 32.997800037264824ms
Attempt 10: 33.17279973998666ms
Attempt 11: 33.505700062960386ms
Attempt 12: 33.22029998525977ms
Attempt 13: 33.164100255817175ms
Attempt 14: 33.87020016089082ms
Attempt 15: 33.38820021599531ms
Attempt 16: 34.14279967546463ms
Attempt 17: 33.68170000612736ms
Attempt 18: 33.74210000038147ms
Attempt 19: 34.03909970074892ms
Attempt 20: 34.354399889707565ms
Average time: 33.563709957525134ms
290 vertexes:
Attempt 1: 36.99429985135794ms
Attempt 2: 36.80119989439845ms
Attempt 3: 37.70980006083846ms
Attempt 4: 36.75570013001561ms
Attempt 5: 36.63339978083968ms
Attempt 6: 38.75070018693805ms
Attempt 7: 36.64610022678971ms
Attempt 8: 37.2276003472507ms
Attempt 9: 37.30619978159666ms
Attempt 10: 37.251099944114685ms
Attempt 11: 36.70520009472966ms
Attempt 12: 36.496300250291824ms
Attempt 13: 37.538499571383ms
Attempt 14: 36.794399842619896ms
Attempt 15: 37.18739980831742ms
Attempt 16: 36.66430013254285ms
Attempt 17: 37.49840008094907ms
Attempt 18: 36.65579995140433ms
Attempt 19: 36.95409977808595ms
Attempt 20: 45.31770013272762ms
Average time: 37.49440999235958ms
300 vertexes:
Attempt 1: 40.57820001617074ms
Attempt 2: 40.64579959958792ms
Attempt 3: 42.223900090903044ms
Attempt 4: 40.788100101053715ms
Attempt 5: 40.638200007379055ms
Attempt 6: 41.02570004761219ms
Attempt 7: 40.82630015909672ms
Attempt 8: 41.376300156116486ms
Attempt 9: 40.88509967550635ms
Attempt 10: 40.91760003939271ms
Attempt 11: 40.89260008186102ms
Attempt 12: 41.2155999802053ms
Attempt 13: 40.67560005933046ms
Attempt 14: 41.79680021479726ms
Attempt 15: 40.766899939626455ms
Attempt 16: 40.692499838769436ms
Attempt 17: 43.5971999540925ms
Attempt 18: 42.08410019055009ms
Attempt 19: 40.68920016288757ms
Attempt 20: 40.80840013921261ms
Average time: 41.15620502270758ms
310 vertexes:
Attempt 1: 46.073599718511105ms
Attempt 2: 44.76900026202202ms
Attempt 3: 44.62979966774583ms
Attempt 4: 45.638099778443575ms
Attempt 5: 45.01240001991391ms
Attempt 6: 46.10739974305034ms
Attempt 7: 45.23350019007921ms
Attempt 8: 45.47569993883371ms
Attempt 9: 45.38660030812025ms
Attempt 10: 45.65690038725734ms
Attempt 11: 44.941999949514866ms
Attempt 12: 45.57689977809787ms
Attempt 13: 45.25499977171421ms
Attempt 14: 45.157600194215775ms
Attempt 15: 45.09310005232692ms
Attempt 16: 44.79929991066456ms
Attempt 17: 44.956599827855825ms
Attempt 18: 44.35250023379922ms
Attempt 19: 45.84390018135309ms
Attempt 20: 46.18790000677109ms
Average time: 45.307389996014535ms
320 vertexes:
Attempt 1: 49.190799705684185ms
Attempt 2: 50.26490008458495ms
Attempt 3: 49.32199977338314ms
Attempt 4: 57.44520016014576ms
Attempt 5: 54.58749970421195ms
Attempt 6: 51.60949984565377ms
Attempt 7: 50.50789983943105ms
Attempt 8: 52.37920023500919ms
Attempt 9: 49.476700369268656ms
Attempt 10: 50.515399780124426ms
Attempt 11: 49.30830001831055ms
Attempt 12: 49.9464999884367ms
Attempt 13: 49.76639989763498ms
Attempt 14: 49.84130011871457ms
Attempt 15: 49.200099892914295ms
Attempt 16: 49.76129997521639ms
Attempt 17: 50.52440008148551ms
Attempt 18: 49.821500200778246ms
Attempt 19: 50.10029999539256ms
Attempt 20: 49.3151000700891ms
Average time: 50.6442149868235ms
330 vertexes:
Attempt 1: 55.148699786514044ms
Attempt 2: 55.780899710953236ms
Attempt 3: 55.420400109142065ms
Attempt 4: 55.4662998765707ms
Attempt 5: 54.18509989976883ms
Attempt 6: 54.78650005534291ms
Attempt 7: 55.167799815535545ms
Attempt 8: 55.05420034751296ms
Attempt 9: 54.45790011435747ms
Attempt 10: 54.90319989621639ms
Attempt 11: 54.9214999191463ms
Attempt 12: 54.98570017516613ms
Attempt 13: 54.011700209230185ms
Attempt 14: 54.115500301122665ms
